"NAICS","Illustrative Examples"
"112390","Duck production"
"112390","Emu production"
"112390","Geese production"
"112390","Ostrich production"
"112390","Pheasant production"
"112390","Quail production"
"112990","Deer production"
"112990","Llama production"
"112990","Worm production"
"112990","Bird production (e.g., canaries, parakeets, parrots)"
"112990","Laboratory animal production (e.g., rats, mice, guinea pigs)"
"112990","Combination animal farming (except dairy, poultry)"
"112990","Companion animals production (e.g., cats, dogs)"
"11511","Aerial dusting or spraying (i.e., using specialized or dedicated aircraft)"
"11511","Cotton ginning"
"11511","Farm management services"
"11511","Planting crops"
"11511","Vineyard cultivation services"
"11511","Cultivating services"
"21229","Antimony ores mining and/or beneficiating"
"21229","Ilmenite ores mining and/or beneficiating"
"21229","Molybdenum ores mining and/or beneficiating"
"21229","Tantalum ores mining and/or beneficiating"
"21229","Tungsten ores mining and/or beneficiating"
"21229","Uranium-radium-vanadium ores mining and/or beneficiating"
"21229","Columbite ores mining and/or beneficiating"
"212299","Antimony ores mining and/or beneficiating"
"212299","Ilmenite ores mining and/or beneficiating"
"212299","Molybdenum ores mining and/or beneficiating"
"212299","Tantalum ores mining and/or beneficiating"
"212299","Tungsten ores mining and/or beneficiating"
"212299","Rare-earth metal ores mining and/or beneficiating"
"212299","Columbite ores mining and/or beneficiating"
"212319","Bituminous limestone mining and/or beneficiating"
"212319","Bituminous sandstone mining and/or beneficiating"
"212319","Marble crushed and broken stone mining and/or beneficiating"
"212319","Sandstone crushed and broken stone mining and/or beneficiating"
"212325","Bentonite mining and/or beneficiating"
"212325","Common clay mining and/or beneficiating"
"212325","Feldspar mining and/or beneficiating"
"212325","Fire clay mining and/or beneficiating"
"212325","Fuller's earth mining and/or beneficiating"
"212325","Magnesite mining and/or beneficiating"
"212325","Nepheline syenite mining and/or beneficiating"
"212325","Shale (except oil shale) mining and/or beneficiating"
"21239","Barite mining and/or beneficiating"
"21239","Borate, natural, mining and/or beneficiating"
"21239","Peat mining and/or beneficiating"
"21239","Phosphate rock mining and/or beneficiating"
"21239","Potash mining and/or beneficiating"
"21239","Rock salt mining and/or beneficiating"
"212393","Barite mining and/or beneficiating"
"212393","Celestite mining and/or beneficiating"
"212393","Fluorspar mining and/or beneficiating"
"212393","Rock salt mining and/or beneficiating"
"212393","Sulfur mining and/or beneficiating"
"212399","Gypsum mining and/or beneficiating"
"212399","Mica mining and/or beneficiating"
"212399","Pyrophyllite mining and/or beneficiating"
"212399","Soapstone mining and/or beneficiating"
"212399","Talc mining and/or beneficiating"
"236210","Assembly plant construction"
"236210","Cannery construction"
"236210","Cement plant construction"
"236210","Factory construction"
"236210","Food processing plant construction"
"236210","Mine loading and discharging station construction"
"236210","Paper or pulp mill construction"
"236210","Pharmaceutical manufacturing plant construction"
"236210","Steel mill construction"
"236210","Waste disposal plant (except sewage treatment) construction"
"236210","Furnace, industrial plant, construction"
"236210","Chemical plant (except petrochemical) construction"
"236220","Airport building construction"
"236220","Arena construction"
"236220","Barrack construction"
"236220","Farm building construction"
"236220","Fire station construction"
"236220","Grain elevator construction"
"236220","Hospital construction"
"236220","Hotel construction"
"236220","Office building construction"
"236220","Parking garage construction"
"236220","Prison construction"
"236220","Radio and television broadcast studio construction"
"236220","Religious building (e.g., church, synagogue, mosque, temple) construction"
"236220","Restaurant construction"
"236220","School building construction"
"236220","Shopping mall construction"
"236220","Warehouse construction (e.g., commercial, industrial, manufacturing, private)"
"236220","Indoor swimming facility construction"
"237110","Distribution line, sewer and water, construction"
"237110","Fire hydrant installation"
"237110","Pumping station, water and sewage system, construction"
"237110","Reservoir construction"
"237110","Sewage disposal plant construction"
"237110","Storm sewer construction"
"237110","Water main and line construction"
"237110","Water system storage tank and tower construction"
"237110","Water treatment plant construction"
"237110","Sewer main, pipe, and connection, construction"
"237110","Irrigation systems construction"
"237110","Water well drilling, digging, boring, or sinking (except water intake wells in oil and gas fields)"
"237120","Distribution line, gas and oil, construction"
"237120","Gas main construction"
"237120","Gathering line, gas and oil field, construction"
"237120","Natural gas pipeline construction"
"237120","Natural gas processing plant construction"
"237120","Oil refinery construction"
"237120","Petrochemical plant construction"
"237120","Pumping station, gas and oil transmission, construction"
"237120","Storage tank, natural gas or oil, tank farm or field, construction"
"237130","Alternative energy (e.g., geothermal, ocean wave, solar, wind) structure construction"
"237130","Cellular phone tower construction"
"237130","Co-generation plant construction"
"237130","Communication tower construction"
"237130","Electric light and power plant (except hydroelectric) construction"
"237130","Electric power transmission line and tower construction"
"237130","Nuclear power plant construction"
"237130","Power line stringing"
"237130","Radio transmitting tower construction"
"237130","Satellite receiving station construction"
"237130","Telephone line stringing"
"237130","Transformer station and substation, electric power, construction"
"237130","Underground cable (e.g., cable television, electricity, telephone) laying"
"237310","Airport runway construction"
"237310","Causeway construction"
"237310","Elevated highway construction"
"237310","Guardrail construction"
"237310","Highway line painting"
"237310","Painting traffic lanes or parking lot lines"
"237310","Culverts, highway, road, and street, construction"
"237310","Pothole filling, highway, road, street, or bridge"
"237310","Resurfacing, highway, road, street, or bridge"
"237310","Sign erection, highway, road, street, or bridge"
"237990","Channel construction"
"237990","Dam construction"
"237990","Dock construction"
"237990","Dredging (e.g., canal, channel, ditch, waterway)"
"237990","Earth retention system construction"
"237990","Flood control project construction"
"237990","Golf course construction"
"237990","Land drainage contractors"
"237990","Marine construction"
"237990","Microtunneling contractors"
"237990","Nuclear waste disposal site construction"
"237990","Railroad construction"
"237990","Subway construction"
"237990","Trenching, underwater"
"237990","Tunnel construction"
"237990","Park ground and recreational open space improvement construction"
"237990","Horizontal drilling (e.g., cable, pipeline, sewer installation)"
"237990","Hydroelectric generating station construction"
"238111","Concrete pumping (i.e., placement), residential"
"238111","Footing and foundation concrete contractors, residential"
"238111","Mud-jacking contractors, residential"
"238111","Shotcrete contractors, residential"
"238111","Concrete work (except paving), residential"
"238111","Concrete pouring and finishing, residential"
"238111","Gunite(tm) contractors, residential"
"238112","Concrete pumping (i.e., placement), nonresidential"
"238112","Footing and foundation concrete contractors, nonresidential"
"238112","Mud-jacking contractors, nonresidential"
"238112","Concrete work (except paving), nonresidential"
"238112","Concrete pouring and finishing, nonresidential"
"238112","Gunite(tm) contractors, nonresidential"
"238121","Erecting structural steel, residential"
"238121","Precast concrete panel, slab, or form installation, residential"
"238121","Rebar contractors, residential"
"238121","Reinforcing steel contractors, residential"
"238121","Concrete products (e.g., structural precast, structural prestressed) residential installation"
"238121","Placing and tying reinforcing rods at a residential construction site"
"238121","Structural steel contractors, residential"
"238122","Erecting structural steel, nonresidential"
"238122","Precast concrete panel, slab, or form installation, nonresidential"
"238122","Rebar contractors, nonresidential"
"238122","Reinforcing steel contractors, nonresidential"
"238122","Concrete products (e.g., structural precast, structural prestressed) nonresidential installation"
"238122","Metal storage tank erection"
"238122","Placing and tying reinforcing rod at a nonresidential construction site"
"238131","Building framing (except structural steel), residential"
"238131","Framing contractors, residential"
"238131","Steel framing contractors, residential"
"238131","Foundation, building, wood, residential contractors"
"238131","Post frame contractors, residential"
"238131","Wood frame component (e.g., truss) fabrication on residential site"
"238132","Building framing (except structural steel), nonresidential"
"238132","Framing contractors, nonresidential"
"238132","Steel framing contractors, nonresidential"
"238132","Foundation, building, wood, nonresidential contractors"
"238132","Post frame contractors, nonresidential"
"238132","Wood frame component (e.g., truss) fabrication on nonresidential site"
"238141","Concrete block laying, residential"
"238141","Stucco contractors, residential"
"238141","Block laying, residential"
"238141","Brick laying, residential"
"238141","Foundation (e.g., brick, block, stone), building, residential contractors"
"238141","Marble, granite, and slate, exterior, residential contractors"
"238141","Masonry pointing, cleaning, or caulking, residential"
"238142","Concrete block laying, nonresidential"
"238142","Stucco contractors, nonresidential"
"238142","Block laying, nonresidential"
"238142","Brick laying, nonresidential"
"238142","Foundation (e.g., brick, block, stone), building, nonresidential contractors"
"238142","Marble, granite, and slate, exterior, nonresidential contractors"
"238142","Masonry pointing, cleaning, or caulking, nonresidential"
"238151","Decorative glass and mirror installation, residential"
"238151","Glazing contractors, residential"
"238151","Stained glass installation, residential"
"238151","Window pane or sheet installation, residential"
"238151","Glass cladding installation, residential"
"238151","Glass coating and tinting (except automotive), residential contractors"
"238151","Glass installation (except automotive), residential contractors"
"238152","Decorative glass and mirror installation, nonresidential"
"238152","Glazing contractors, nonresidential"
"238152","Stained glass installation, nonresidential"
"238152","Window pane or sheet installation, nonresidential"
"238152","Glass cladding installation, nonresidential"
"238152","Glass coating and tinting (except automotive), nonresidential contractors"
"238152","Glass installation (except automotive), nonresidential contractors"
"238161","Skylight installation, residential"
"238161","Painting, spraying, or coating, residential roofs"
"238161","Shake and shingle, roof, residential installation"
"238161","Sheet metal roofing, residential installation"
"238162","Skylight installation, nonresidential"
"238162","Painting, spraying, or coating, nonresidential roofs"
"238162","Shake and shingle, roof, nonresidential installation"
"238162","Sheet metal roofing, nonresidential installation"
"238171","Downspout, gutter, and gutter guards, residential installation"
"238171","Fascia and soffit, residential installation"
"238171","Siding, of any material, residential installation"
"238172","Downspout, gutter, and gutter guards, nonresidential installation"
"238172","Fascia and soffit, nonresidential installation"
"238172","Siding, of any material, nonresidential installation"
"238191","Curtain wall, metal, residential installation"
"238191","Forms for poured concrete, erecting and dismantling at residential sites"
"238191","Decorative steel and wrought iron work, residential installation"
"238191","Ornamental metal work, residential installation"
"238191","Fire escape installation , residential"
"238191","Welding, on site, residential contractors"
"238192","Curtain wall, metal, nonresidential installation"
"238192","Forms for poured concrete, erecting and dismantling at nonresidential sites"
"238192","Decorative steel and wrought iron work, nonresidential installation"
"238192","Ornamental metal work, nonresidential installation"
"238192","Fire escape installation , nonresidential"
"238211","Cable splicing, electrical or fiber optic, residential"
"238211","Cable television hookup contractors, residential"
"238211","Computer and network cable installation, residential"
"238211","Alarm system (e.g., fire, burglar), electric, residential installation only"
"238211","Audio equipment installation contractors, residential"
"238212","Cable splicing, electrical or fiber optic, nonresidential"
"238212","Cable television hookup contractors, nonresidential"
"238212","Airport runway lighting contractors"
"238212","Alarm system (e.g., fire, burglar), electric, nonresidential installation only"
"238212","Audio equipment installation contractors, nonresidential"
"238221","Mechanical contractors, residential"
"238221","Heating, ventilation, and air-conditioning (HVAC) contractors, residential"
"238221","Duct work (e.g., cooling, dust collection, exhaust, heating, ventilation), residential installation"
"238221","Lawn sprinkler system installation, residential installation"
"238221","Fire sprinkler system, residential installation"
"238222","Cooling tower installation"
"238222","Heating, ventilation, and air-conditioning (HVAC) contractors, nonresidential"
"238222","Duct work (e.g., cooling, dust collection, exhaust, heating, ventilation), nonresidential installation"
"238222","Lawn sprinkler system installation, nonresidential installation"
"238222","Fire sprinkler system, nonresidential installation"
"238291","Lightning protection equipment (e.g., lightning rod), residential installation"
"238291","Satellite dish, household-type, installation"
"238291","Vacuum cleaning system, built-in, residential installation"
"238292","Automated and revolving door, nonresidential installation"
"238292","Boiler and pipe insulation, nonresidential installation"
"238292","Commercial-type door installation"
"238292","Conveyor system installation"
"238292","Dismantling large-scale machinery and equipment"
"238292","Elevator installation"
"238292","Escalator installation"
"238292","Gasoline pump, service station, installation"
"238292","Lightning protection equipment (e.g., lightning rod), nonresidential installation"
"238292","Machine rigging"
"238292","Millwrights"
"238292","Overhead door, commercial- or industrial-type, installation"
"238292","Revolving door installation"
"238292","Vacuum cleaning system, built-in, nonresidential installation"
"238311","Drop ceiling installation, residential"
"238311","Drywall contractors, residential"
"238311","Firestop contractors, residential"
"238311","Fresco (i.e., decorative plaster finishing) contractors, residential"
"238311","Gypsum board installation, residential"
"238311","Lathing contractors, residential"
"238311","Soundproofing contractors, residential"
"238311","Taping and finishing drywall, residential"
"238311","Acoustical ceiling tile and panel, residential installation"
"238311","Plastering (i.e., ornamental, plain), residential contractors"
"238311","Wall cavity and attic space insulation, residential installation"
"238312","Drop ceiling installation, nonresidential"
"238312","Drywall contractors, nonresidential"
"238312","Firestop contractors, nonresidential"
"238312","Fresco (i.e., decorative plaster finishing) contractors, nonresidential"
"238312","Gypsum board installation, nonresidential"
"238312","Lathing contractors, nonresidential"
"238312","Soundproofing contractors, nonresidential"
"238312","Taping and finishing drywall, nonresidential"
"238312","Acoustical ceiling tile and panel, nonresidential installation"
"238312","Plastering (i.e., ornamental, plain), nonresidential contractors"
"238312","Wall cavity and attic space insulation, nonresidential installation"
"238321","Paint and wallpaper stripping, residential"
"238321","Paperhanging or removal contractors, residential"
"238321","Wallpaper hanging and removal contractors, residential"
"238321","House painting"
"238322","Paint and wallpaper stripping, nonresidential"
"238322","Paperhanging or removal contractors, nonresidential"
"238322","Wallpaper hanging and removal contractors, nonresidential"
"238322","Bridge painting"
"238322","Ship painting contractors"
"238331","Carpet, installation only, residential"
"238331","Hardwood flooring, installation only, residential"
"238331","Resilient floor tile or sheet (e.g., linoleum, rubber, vinyl), installation only, residential"
"238331","Vinyl flooring contractors, residential"
"238331","Floor laying, scraping, finishing, and refinishing, residential"
"238331","Resurfacing residential hardwood flooring"
"238332","Carpet, installation only, nonresidential"
"238332","Hardwood flooring, installation only, nonresidential"
"238332","Resilient floor tile or sheet (e.g., linoleum, rubber, vinyl), installation only, nonresidential"
"238332","Vinyl flooring contractors, nonresidential"
"238332","Floor laying, scraping, finishing, and refinishing, nonresidential"
"238332","Resurfacing nonresidential hardwood flooring"
"238341","Ceramic tile installation, residential"
"238341","Mantel, marble or stone, installation, residential"
"238341","Mosaic work, residential"
"238341","Marble, granite, and slate, interior, residential contractors"
"238341","Stone flooring, residential installation"
"238341","Tile laying and setting, residential"
"238342","Ceramic tile installation, nonresidential"
"238342","Mantel, marble or stone, installation, nonresidential"
"238342","Mosaic work, nonresidential"
"238342","Marble, granite, and slate, interior, nonresidential contractors"
"238342","Stone flooring, nonresidential installation"
"238342","Tile laying and setting, nonresidential"
"238351","Millwork installation, residential"
"238351","Paneling installation, residential"
"238351","Built-in wood cabinets constructed on residential sites"
"238351","Counter top, residential-type, installation"
"238351","Door and window frame, residential construction"
"238351","Garage door, residential-type, installation"
"238351","Molding or trim, wood or plastic, residential installation"
"238351","Prefabricated kitchen and bath cabinet, residential-type, installation"
"238351","Window and door of any material, prefabricated, residential installation"
"238352","Millwork installation, nonresidential"
"238352","Paneling installation, nonresidential"
"238352","Built-in wood cabinets constructed on nonresidential sites"
"238352","Door and window frame, nonresidential construction"
"238352","Molding or trim, wood or plastic, nonresidential installation"
"238352","Ship joinery contractors"
"238352","Window and door of any material, prefabricated, residential installation"
"238391","Closet organizer system installation, residential"
"238391","Waterproofing contractors, residential"
"238391","Bath tub refinishing on residential sites"
"238391","Concrete coating, glazing, or sealing, residential"
"238391","Drapery fixture (e.g., hardware, rods, tracks), residential installation"
"238391","Fabricating metal cabinets or countertops on site, residential"
"238391","Window shade and blind, residential installation"
"238392","Closet organizer system installation, nonresidential"
"238392","Waterproofing contractors, nonresidential"
"238392","Concrete coating, glazing, or sealing, nonresidential"
"238392","Countertop and cabinet, metal (except residential-type), installation"
"238392","Drapery fixture (e.g., hardware, rods, tracks), nonresidential  installation"
"238392","Fabricating metal cabinets or countertops on site, nonresidential"
"238392","Modular furniture system attachment and installation"
"238392","Trade show exhibit installation and dismantling"
"238392","Window shade and blind, nonresidential installation"
"238911","Dewatering contractors, residential"
"238911","Excavating, earthmoving, or land clearing contractors, residential"
"238911","Foundation digging (i.e., excavation), residential"
"238911","Foundation drilling contractors, residential"
"238911","Septic system contractors, residential"
"238911","Concrete breaking and cutting, for residential demolition"
"238911","Demolition, residential buildings and structures"
"238911","Dirt moving for residential construction"
"238911","Equipment rental (except crane), construction, with operator, for residential projects"
"238911","Grading residential construction sites"
"238911","Wrecking, residential building or other structure"
"238912","Dewatering contractors, nonresidential"
"238912","Excavating, earthmoving, or land clearing contractors, nonresidential"
"238912","Foundation digging (i.e., excavation), nonresidential"
"238912","Septic system contractors, nonresidential"
"238912","Blasting, nonresidential building demolition"
"238912","Concrete breaking and cutting, for nonresidential demolition"
"238912","Cutting new rights of way"
"238912","Demolition, nonresidential buildings and structures"
"238912","Dirt moving for nonresidential construction"
"238912","Equipment rental (except crane), construction, with operator, for nonresidential projects"
"238912","Foundation drilling, nonresidential contractors"
"238912","Grading nonresidential construction sites"
"238912","Line slashing or cutting (except maintenance)"
"238912","Trenching (except underwater)"
"238912","Underground tank (except hazardous) removal, nonresidential"
"238912","Wrecking, nonresidential building or other structure"
"238991","Driveway paving or sealing, residential"
"238991","Scaffold erecting and dismantling, residential"
"238991","Crane rental with operator, residential projects"
"238991","Cleaning residential building interiors during and immediately after construction"
"238991","Fence installation, residential"
"238991","Interlocking bricks and blocks, residential installation"
"238991","Manufactured (mobile) home, moving to site, setting up, and tying down"
"238991","Outdoor swimming pool construction, residential"
"238991","Pavers, brick (e.g., driveway, patio, sidewalk), residential installation"
"238991","Paving, residential driveways and parking lots"
"238991","Sandblasting residential building exteriors"
"238992","Scaffold erecting and dismantling, nonresidential"
"238992","Scaffold erecting and dismantling, nonresidential"
"238992","Billboard erection"
"238992","Crane rental with operator, nonresidential projects"
"238992","Cleaning nonresidential building interiors during and immediately after construction"
"238992","Driveways, paving or sealing, nonresidential"
"238992","Fence installation, nonresidential"
"238992","Interlocking bricks and blocks, nonresidential installation"
"238992","Outdoor swimming pool construction, nonresidential"
"238992","Pavers, brick (e.g., driveway, patio, sidewalk), nonresidential installation"
"238992","Paving, commercial driveways and parking lots"
"238992","Sandblasting nonresidential building exteriors"
"238992","Steeplejack work"
"238992","Billboard erection"
"238992","Crane rental with operator, nonresidential projects"
"238992","Cleaning nonresidential building interiors during and immediately after construction"
"238992","Driveways, paving or sealing, nonresidential"
"238992","Fence installation, nonresidential"
"238992","Interlocking bricks and blocks, nonresidential installation"
"238992","Outdoor swimming pool construction, nonresidential"
"238992","Pavers, brick (e.g., driveway, patio, sidewalk), nonresidential installation"
"238992","Paving, commercial driveways and parking lots"
"238992","Sandblasting nonresidential building exteriors"
"311919","Corn chips and related corn snacks manufacturing"
"311919","Pork rinds manufacturing"
"311919","Potato chips manufacturing"
"311919","Pretzels (except soft) manufacturing"
"311919","Tortilla chips manufacturing"
"311919","Popped popcorn (except candy-covered) manufacturing"
"31199","Baking powder manufacturing"
"31199","Egg substitutes manufacturing"
"31199","Honey processing"
"31199","Popcorn (except popped) manufacturing"
"31199","Sweetening syrups (except pure maple) manufacturing"
"31199","Cut or peeled fresh vegetables manufacturing"
"31199","Dessert puddings manufacturing"
"31199","Fresh pasta manufacturing"
"31199","Fresh pizza manufacturing"
"31199","Powdered drink mixes (except chocolate, coffee, tea, or milk based) manufacturing"
"311999","Baking powder manufacturing"
"311999","Egg substitutes manufacturing"
"311999","Gelatin dessert preparations manufacturing"
"311999","Honey processing"
"311999","Popcorn (except popped) manufacturing"
"311999","Sweetening syrups (except pure maple) manufacturing"
"311999","Yeast manufacturing"
"311999","Cake frosting, prepared, manufacturing"
"311999","Dessert puddings manufacturing"
"311999","Powdered drink mixes (except chocolate, coffee, tea, or milk based) manufacturing"
"312230","Chewing tobacco manufacturing"
"312230","Cigar manufacturing"
"312230","Cigarettes manufacturing"
"312230","Snuff manufacturing"
"312230","Tobacco leaf processing and aging"
"312230","Prepared pipe tobacco manufacturing"
"314910","Covers (e.g., boat, swimming pool, truck) made from purchased fabrics"
"314910","Laundry bags made from purchased woven or knitted materials"
"314910","Seed bags made from purchased woven or knitted materials"
"314910","Textile bags made from purchased woven or knitted materials"
"31499","Batts and batting (except nonwoven fabrics) manufacturing"
"31499","Carpet cutting and binding"
"31499","Fishing nets made from purchased materials"
"31499","Ropes (except wire rope) manufacturing"
"31499","Sleeping bags manufacturing"
"31499","Tire cord and fabric, all materials, manufacturing"
"31499","Twines manufacturing"
"31499","Diapers (except disposable) made from purchased materials"
"31499","Embroidering on textile products or apparel for the trade"
"314999","Batts and batting (except nonwoven fabrics) manufacturing"
"314999","Carpet cutting and binding"
"314999","Fishing nets made from purchased materials"
"314999","Sleeping bags manufacturing"
"314999","Weatherstripping made from purchased textiles"
"314999","Embroidering on textile products or apparel for the trade"
"314999","Diapers (except disposable) made from purchased materials"
"314999","Textile fire hoses made from purchased materials"
"314999","Dust cloths made from purchased fabric"
"316210","Athletic shoes manufacturing"
"316210","Ballet slippers manufacturing"
"316210","Cleated athletic shoes manufacturing"
"316210","Shoes, children's and infants' (except orthopedic extension), manufacturing"
"316210","Shoes, men's (except orthopedic extension), manufacturing"
"316210","Shoes, women's (except orthopedic extension), manufacturing"
"31699","Billfolds, all materials, manufacturing"
"31699","Boot and shoe cut stock and findings, leather, manufacturing"
"31699","Luggage, all materials, manufacturing"
"31699","Shoe soles, leather, manufacturing"
"31699","Toilet kits and cases (except metal) manufacturing"
"31699","Welders' jackets, leggings, and sleeves, leather, manufacturing"
"31699","Dog furnishings (e.g., collars, leashes, harnesses, muzzles), manufacturing"
"31699","Purses, women's, all materials (except metal), manufacturing"
"31699","Watchbands (except metal) manufacturing"
"316998","Billfolds, all materials, manufacturing"
"316998","Boot and shoe cut stock and findings, leather, manufacturing"
"316998","Coin purses (except metal) manufacturing"
"316998","Key cases (except metal) manufacturing"
"316998","Luggage, all materials, manufacturing"
"316998","Shoe soles, leather, manufacturing"
"316998","Toilet kits and cases (except metal) manufacturing"
"316998","Welders' jackets, leggings, and sleeves, leather, manufacturing"
"316998","Dog furnishings (e.g., collars, leashes, harnesses, muzzles), manufacturing"
"316998","Leather belting for machinery (e.g., flat, solid, twisted, built-up) manufacturing"
"316998","Watchbands (except metal) manufacturing"
"32121","Medium density fiberboard (MDF) manufacturing"
"32121","Oriented strandboard (OSB) manufacturing"
"32121","Particleboard manufacturing"
"32121","Reconstituted wood sheets and boards manufacturing"
"32121","Roof trusses, wood, manufacturing"
"32121","Waferboard manufacturing"
"32121","Fabricated structural wood members manufacturing"
"32121","Laminated structural wood members manufacturing"
"32121","Plywood manufacturing"
"32121","Veneer mills"
"321213","Finger joint lumber manufacturing"
"321213","I-joists, wood, fabricating"
"321213","Laminated veneer lumber (LVL) manufacturing"
"321213","Parallel strand lumber manufacturing"
"321213","Timbers, structural, glue laminated or pre-engineered wood, manufacturing"
"321219","Medium density fiberboard (MDF) manufacturing"
"321219","Oriented strandboard (OSB) manufacturing"
"321219","Particleboard manufacturing"
"321219","Reconstituted wood sheets and boards manufacturing"
"321219","Waferboard manufacturing"
"321918","Clear and finger joint wood moldings manufacturing"
"321918","Decorative wood moldings (e.g., base, chair rail, crown, shoe) manufacturing"
"321918","Planing mills, millwork"
"321918","Wood flooring manufacturing"
"321918","Wood shutters manufacturing"
"321918","Ornamental woodwork (e.g., cornices, mantel) manufacturing"
"321918","Stairwork (e.g., newel posts, railings, stairs, staircases), wood, manufacturing"
"32199","Mobile home manufacturing"
"32199","Panels, prefabricated wood building, manufacturing"
"32199","Sections, prefabricated wood building, manufacturing"
"32199","Prefabricated wood buildings"
"32199","Wood dowels manufacturing"
"32199","Wood handles (e.g., broom, handtool, mop) manufacturing"
"321999","Cabinets (i.e., housings), wood (e.g., sewing machines, stereo, television), manufacturing"
"321999","Cork products (except gaskets) manufacturing"
"321999","Kiln drying lumber"
"321999","Shoe trees manufacturing"
"321999","Wood dowels manufacturing"
"321999","Wood extension ladders manufacturing"
"321999","Wood handles (e.g., broom, handtool, mop), manufacturing"
"321999","Wood kitchenware manufacturing"
"321999","Wood stepladders manufacturing"
"321999","Wood toilet seats manufacturing"
"321999","Wood toothpicks manufacturing"
"322219","Fiber cans and drums (i.e., all-fiber, nonfiber ends of any material) made from purchased paperboard"
"322219","Sanitary food containers (except folding) made from purchased paper or paperboard"
"322219","Setup (i.e., not shipped flat) boxes made from purchased paperboard"
"322230","Die-cut paper products for office use made from purchased paper or paperboard"
"322230","Envelopes (i.e., mailing, stationery) made from any material"
"322230","Stationery made from purchased paper"
"322230","Tablets (e.g., memo, note, writing) made from purchased paper"
"322230","Tapes (e.g., adding machines, calculator, cash register) made from purchased paper"
"32229","Crepe paper made from purchased paper"
"32229","Die-cut paper products (except for office use) made from purchased paper or paperboard"
"32229","Molded pulp products (e.g., egg cartons, food containers, food trays) manufacturing"
"32229","Paper novelties made from purchased paper"
"32229","Sanitary products made from purchased sanitary paper stock"
"322299","Crepe paper made from purchased paper"
"322299","Die-cut paper products (except for office use) made from purchased paper or paperboard"
"322299","Molded pulp products (e.g., egg cartons, food containers, food trays) manufacturing"
"322299","Paper novelties made from purchased paper"
"32419","Coke oven products (e.g., coke, gases, tars) made in coke oven establishments"
"32419","Petroleum jelly made from refined petroleum"
"32419","Petroleum waxes made from refined petroleum"
"32419","Petroleum brake fluids made from refined petroleum"
"32419","Petroleum briquettes made from refined petroleum"
"32419","Petroleum lubricating oils and greases made from refined petroleum"
"32419","Re-refined used petroleum lubricating oils"
"324199","Coke oven products (e.g., coke, gases, tars) made in coke oven establishments"
"324199","Petroleum jelly made from refined petroleum"
"324199","Petroleum waxes made from refined petroleum"
"324199","Petroleum briquettes made from refined petroleum"
"325180","Alkalies manufacturing"
"325180","Aluminum compounds, not specified elsewhere by process, manufacturing"
"325180","Carbon black manufacturing"
"325180","Chlorine manufacturing"
"325180","Hydrochloric acid manufacturing"
"325180","Potassium inorganic compounds, not specified elsewhere by process, manufacturing"
"325180","Radioactive isotopes manufacturing"
"325180","Sulfides and sulfites manufacturing"
"325180","Sulfuric acid manufacturing"
"325180","Carbides (e.g., baron, calcium, silium, tungsten) manufacturing"
"32519","Carbon organic compounds, not specified elsewhere by process, manufacturing"
"32519","Enzyme proteins (i.e., basic synthetic chemicals) (except pharmaceutical use) manufacturing"
"32519","Fatty acids (e.g., margaric, oleic, stearic) manufacturing"
"32519","Gum and wood chemicals manufacturing"
"32519","Organo-inorganic compound manufacturing"
"32519","Silicone (except resins) manufacturing"
