"NAICS","NAICS Index Item","Source","Revision"
"111219","Cauliflower farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Celery farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Chinese pea farming, bedding plant and seed production","NAICS MANUAL",""
"111219","Chive farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Collard farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Cowpea (except dry) farming, field and seed production","NAICS MANUAL",""
"111219","Crenshaw melon farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Cucumber farming (except under cover), field, bedding plant and seed production","NAICS MANUAL",""
"111219","Dill farming, field and seed production","NAICS MANUAL",""
"111219","Eggplant farming (except under cover), field, bedding plant and seed production","NAICS MANUAL",""
"111219","Endive farming (except under cover), field, bedding plant and seed production","NAICS MANUAL",""
"111219","English pea farming (except under cover), field, bedding plant and seed production","NAICS MANUAL",""
"111219","Escarole farming (except under cover), field, bedding plant and seed production","NAICS MANUAL",""
"111219","Garlic farming (except under cover), field, bedding plant and seed production","NAICS MANUAL",""
"111219","Gingerroot farming (except under cover), field, bedding plant and seed production","NAICS MANUAL",""
"111219","Ginseng farming (except under cover), field, bedding plant and seed production","NAICS MANUAL",""
"111219","Green bean farming, field and seed production","NAICS MANUAL",""
"111219","Green cowpea farming, field and seed production","NAICS MANUAL",""
"111219","Green lima bean farming, field and seed production","NAICS MANUAL",""
"111219","Green pea farming, field and seed production","NAICS MANUAL",""
"111219","Honeydew melon farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Kale farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Leek farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Lettuce farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Melon farming (e.g., cantaloupe, casaba, honeydew, watermelon), field, bedding plant and seed production","NAICS MANUAL",""
"111219","Muskmelon farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Okra farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Onion farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Parsley farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Parsnip farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Pea (except dry) farming, field and seed production","NAICS MANUAL",""
"111219","Pepper (e.g., bell, chili, green, hot, red, sweet) farming","NAICS MANUAL",""
"111219","Pumpkin farming, field and seed production","NAICS MANUAL",""
"111219","Radish farming, field and seed production","NAICS MANUAL",""
"111219","Rhubarb farming, field and seed production","NAICS MANUAL",""
"111219","Romaine lettuce farming, field and seed production","NAICS MANUAL",""
"111219","Rutabaga farming, field and seed production","NAICS MANUAL",""
"111219","Shallot farming, field and seed production","NAICS MANUAL",""
"111219","Snap bean farming (i.e., bush and pole), field and seed production","NAICS MANUAL",""
"111219","Snow pea farming, field and seed production","NAICS MANUAL",""
"111219","Spaghetti squash farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Spinach farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Squash farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","String bean farming, field and seed production","NAICS MANUAL",""
"111219","Sweet corn farming, field and seed production","NAICS MANUAL",""
"111219","Sweet pepper farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Taro farming, field and seed production","NAICS MANUAL",""
"111219","Tomato farming (except under cover), field, bedding plant and seed production","NAICS MANUAL",""
"111219","Truck farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Turnip farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Vegetable and melon farming, vegetable (except potato) and melon dominant crops, field, bedding plants and seed production","NAICS MANUAL",""
"111219","Vegetable and potato farming, vegetable (except potato) dominant crops, field, bedding plants and seed production","NAICS MANUAL",""
"111219","Watermelon farming, field, bedding plant and seed production","NAICS MANUAL",""
"111219","Zucchini farming, field, bedding plant and seed production","NAICS MANUAL",""
"111310","Orange groves","NAICS MANUAL",""
"111320","Citrus groves (except orange)","NAICS MANUAL",""
"111320","Grapefruit groves","NAICS MANUAL",""
"111320","Lemon groves","NAICS MANUAL",""
"111320","Lime groves","NAICS MANUAL",""
"111320","Mandarin groves","NAICS MANUAL",""
"111320","Tangelo groves","NAICS MANUAL",""
"111320","Tangerine groves","NAICS MANUAL",""
"111331","Apple orchards","NAICS MANUAL",""
"111332","Grape farming without making wine","NAICS MANUAL",""
"111332","Raisin farming","NAICS MANUAL",""
"111333","Strawberry farming","NAICS MANUAL",""
"111334","Berry (except strawberry) farming","NAICS MANUAL",""
"111334","Blackberry farming","NAICS MANUAL",""
"111334","Blueberry farming","NAICS MANUAL",""
"111334","Boysenberry farming","NAICS MANUAL",""
"111334","Cranberry farming","NAICS MANUAL",""
"111334","Currant farming","NAICS MANUAL",""
"111334","Dewberry farming","NAICS MANUAL",""
"111334","Gooseberry farming","NAICS MANUAL",""
"111334","Huckleberry farming","NAICS MANUAL",""
"111334","Loganberry farming","NAICS MANUAL",""
"111334","Raspberry farming","NAICS MANUAL",""
"111334","Youngberry farming","NAICS MANUAL",""
"111335","Almond farming","NAICS MANUAL",""
"111335","Brazil nut farming","NAICS MANUAL",""
"111335","Cashew farming","NAICS MANUAL",""
"111335","Filbert farming","NAICS MANUAL",""
"111335","Hazelnut farming","NAICS MANUAL",""
"111335","Macadamia farming","NAICS MANUAL",""
"111335","Pecan farming","NAICS MANUAL",""
"111335","Pistachio farming","NAICS MANUAL",""
"111335","Tree nut farming","NAICS MANUAL",""
"111335","Walnut farming","NAICS MANUAL",""
"111336","Fruit and tree nut combination farming","NAICS MANUAL",""
"111339","Apricot farming","NAICS MANUAL",""
"111339","Avocado farming","NAICS MANUAL",""
"111339","Banana farming","NAICS MANUAL",""
"111339","Cactus fruit farming","NAICS MANUAL",""
"111339","Cherry farming","NAICS MANUAL",""
"111339","Coconut tree farming","NAICS MANUAL",""
"111339","Coffee farming","NAICS MANUAL",""
"111339","Date farming","NAICS MANUAL",""
"111339","Deciduous tree fruit (except apples, citrus) farming","2017 ADD",""
"111339","Fig farming","NAICS MANUAL",""
"111339","Guavas farming","NAICS MANUAL",""
"111339","Kiwi fruit farming","NAICS MANUAL",""
"111339","Mango farming","NAICS MANUAL",""
"111339","Nectarine farming","NAICS MANUAL",""
"111339","Noncitrus fruit farming","NAICS MANUAL",""
"111339","Olive farming","NAICS MANUAL",""
"111339","Papaya farming","NAICS MANUAL",""
"111339","Passion fruit farming","NAICS MANUAL",""
"111339","Peach farming","NAICS MANUAL",""
"111339","Pear farming","NAICS MANUAL",""
"111339","Persimmon farming","NAICS MANUAL",""
"111339","Pineapple farming","NAICS MANUAL",""
"111339","Plantain farming","NAICS MANUAL",""
"111339","Plum farming","NAICS MANUAL",""
"111339","Pomegranate farming","NAICS MANUAL",""
"111339","Prickly pear farming","NAICS MANUAL",""
"111339","Prune farming","NAICS MANUAL",""
"111339","Quince farming","NAICS MANUAL",""
"111411","Mushroom farming","NAICS MANUAL",""
"111411","Mushroom spawn farming","NAICS MANUAL",""
"111411","Shitake mushroom farming","NAICS MANUAL",""
"111419","Alfalfa sprout farming, grown under cover","NAICS MANUAL",""
"111419","Bean sprout farming,  grown under cover","NAICS MANUAL",""
"111419","Cucumber farming, grown under cover","NAICS MANUAL",""
"111419","Eggplant farming, grown under cover","NAICS MANUAL",""
"111419","Endive farming, grown under cover","NAICS MANUAL",""
"111419","English pea farming, grown under cover","NAICS MANUAL",""
"111419","Escarole farming, grown under cover","NAICS MANUAL",""
"111419","Fruit farming, grown under cover","NAICS MANUAL",""
"111419","Garlic farming, grown under cover","NAICS MANUAL",""
"111419","Gingerroot farming, grown under cover","NAICS MANUAL",""
"111419","Ginseng farming, grown under cover","NAICS MANUAL",""
"111419","Herb farming, grown under cover","NAICS MANUAL",""
"111419","Hydroponic crop farming","NAICS MANUAL",""
"111419","Marijuana, grown under cover","2017 ADD",""
"111419","Melon farming, grown under cover","NAICS MANUAL",""
"111419","Rhubarb, grown under cover","NAICS MANUAL",""
"111419","Spice farming, grown under cover","NAICS MANUAL",""
"111419","Tomato farming, grown under cover","NAICS MANUAL",""
"111419","Truffles farming, grown under cover","NAICS MANUAL",""
"111419","Vegetable farming, grown under cover","NAICS MANUAL",""
"111421","Azalea farming","NAICS MANUAL",""
"111421","Christmas tree growing","NAICS MANUAL",""
"111421","Corms farming","NAICS MANUAL",""
"111421","Field nurseries (i.e., growing of flowers and shrubbery)","NAICS MANUAL",""
"111421","Field nursery (i.e., growing of flowers and shrubbery)","BLS SINGULAR",""
"111421","Flower bulb growing","NAICS MANUAL",""
"111421","Fruit stock (e.g., plants, seedlings, trees) growing","NAICS MANUAL",""
"111421","Herbaceous perennial growing","NAICS MANUAL",""
"111421","Nursery stock growing","NAICS MANUAL",""
"111421","Nursery with tree production (except for reforestation)","NAICS MANUAL",""
"111421","Preseeded mat farming","NAICS MANUAL",""
"111421","Propagation material farming","NAICS MANUAL",""
"111421","Rose bush growing","NAICS MANUAL",""
"111421","Short rotation woody tree growing (i.e., growing and harvesting cycle ten years or less)","NAICS MANUAL",""
"111421","Shrubbery farming","NAICS MANUAL",""
"111421","Sod farming","NAICS MANUAL",""
"111421","Tissue culture farming","NAICS MANUAL",""
"111421","Tree crop farming (except forestry), short rotation growing and harvesting cycle","NAICS MANUAL",""
"111421","Turf farming","2017 ADD",""
"111422","Bedding plant growing (except vegetable and melon bedding plants)","NAICS MANUAL",""
"111422","Cultivated florist greens growing","NAICS MANUAL",""
"111422","Cut flower growing","NAICS MANUAL",""
"111422","Cut rose growing","NAICS MANUAL",""
"111422","Cuttings farming","NAICS MANUAL",""
"111422","Flower growing","NAICS MANUAL",""
"111422","Flower seed production","NAICS MANUAL",""
"111422","Foliage growing","NAICS MANUAL",""
"111422","Hanging basket plant growing","NAICS MANUAL",""
"111422","House plant growing","NAICS MANUAL",""
"111422","Ornamental plant growing","NAICS MANUAL",""
"111422","Plant, ornamental, growing","NAICS MANUAL",""
"111422","Plant, potted flower and foliage, growing","NAICS MANUAL",""
"111422","Plug (i.e., floriculture products) growing","NAICS MANUAL",""
"111910","Tobacco farming, field and seed production","NAICS MANUAL",""
"111920","Cotton farming, field and seed production","NAICS MANUAL",""
"111920","Cottonseed farming","NAICS MANUAL",""
"111930","Cane farming, sugar, field production","NAICS MANUAL",""
"111930","Sugarcane farming, field production","NAICS MANUAL",""
"111940","Alfalfa hay farming","NAICS MANUAL",""
"111940","Clover hay farming","NAICS MANUAL",""
"111940","Grass hay farming","NAICS MANUAL",""
"111940","Hay farming (e.g., alfalfa hay, clover hay, grass hay)","NAICS MANUAL",""
"111940","Mixed hay farming","NAICS MANUAL",""
"111991","Sugar beet farming","NAICS MANUAL",""
"111992","Peanut farming","NAICS MANUAL",""
"111998","Agave farming","NAICS MANUAL",""
"111998","Alfalfa seed farming","NAICS MANUAL",""
"111998","Aloe farming","NAICS MANUAL",""
"111998","Amaranth farming","NAICS MANUAL",""
"111998","Bentgrass seed farming","NAICS MANUAL",""
"111998","Bluegrass-Kentucky seed farming","NAICS MANUAL",""
"111998","Chicory farming","NAICS MANUAL",""
"111998","Clover seed farming","NAICS MANUAL",""
"111998","Crimson cloves seed farming","NAICS MANUAL",""
"111998","Fescue seed farming","NAICS MANUAL",""
"111998","General combination crop farming (except fruit and nut combinations, oilseed and grain, vegetable)","NAICS MANUAL",""
"111998","Grass seed farming","NAICS MANUAL",""
"111998","Guar farming","NAICS MANUAL",""
"111998","Hay seed farming","NAICS MANUAL",""
"111998","Herb farming, open field","NAICS MANUAL",""
"111998","Hop farming","NAICS MANUAL",""
"111998","Jojoba farming","NAICS MANUAL",""
"111998","Kenaf farming","NAICS MANUAL",""
"111998","Maple sap concentrating (i.e., producing pure maple syrup in the field)","NAICS MANUAL",""
"111998","Maple sap gathering","NAICS MANUAL",""
"111998","Maple syrup (i.e., maple sap reducing)","NAICS MANUAL",""
"111998","Marijuana, grown in an open field","2017 ADD",""
"111998","Mint farming","NAICS MANUAL",""
"111998","Orchard grass seed farming","NAICS MANUAL",""
"111998","Ryegrass seed farming","NAICS MANUAL",""
"111998","Sorghum sudan seed farming","NAICS MANUAL",""
"111998","Spice farming","NAICS MANUAL",""
"111998","Syrup, pure maple (i.e., maple syrup reducing)","NAICS MANUAL",""
"111998","Tea farming","NAICS MANUAL",""
"112111","Backgrounding, cattle","NAICS MANUAL",""
"112111","Beef cattle ranching or farming","NAICS MANUAL",""
"112111","Calf (e.g., feeder, stocker, veal) production","NAICS MANUAL",""
"112111","Cattle conditioning operations","NAICS MANUAL",""
"112111","Cattle farming or ranching","NAICS MANUAL",""
"112111","Dairy heifer replacement production","NAICS MANUAL",""
"112111","Feeder calf production","NAICS MANUAL",""
"112111","Stocker calf production","NAICS MANUAL",""
"112111","Veal calf production","NAICS MANUAL",""
"112112","Beef cattle feedlots (except stockyards for transportation)","NAICS MANUAL",""
"112112","Cattle feedlots (except stockyards for transportation)","NAICS MANUAL",""
"112112","Fattening cattle","NAICS MANUAL",""
"112112","Feed yards (except stockyards for transportation), cattle","NAICS MANUAL",""
"112112","Feedlots (except stockyards for transportation), cattle","NAICS MANUAL",""
"112120","Dairy cattle farming","NAICS MANUAL",""
"112120","Milk production, dairy cattle","NAICS MANUAL",""
"112120","Milking dairy cattle","NAICS MANUAL",""
"112210","Farrow-to-finish operations","NAICS MANUAL",""
"112210","Feeder pig farming","NAICS MANUAL",""
"112210","Feedlots (except stockyards for transportation), hog","NAICS MANUAL",""
"112210","Hog and pig (including breeding, farrowing, nursery, and finishing activities) farming","NAICS MANUAL",""
"112210","Hog feedlots (except stockyards for transportation)","NAICS MANUAL",""
"112210","Pig farming","NAICS MANUAL",""
"112210","Swine farming","2017 ADD",""
"112210","Weaning pig operations","NAICS MANUAL",""
"112310","Chicken egg production","NAICS MANUAL",""
"112310","Chicken eggs (table, hatching) production","NAICS MANUAL",""
"112310","Cull hen production","NAICS MANUAL",""
"112310","Egg production, chicken","NAICS MANUAL",""
"112310","Eggs, chicken (table, hatching) production","NAICS MANUAL",""
"112310","Layer-type chicken production","NAICS MANUAL",""
"112310","Started pullet production","NAICS MANUAL",""
"112320","Broiler chicken production","NAICS MANUAL",""
"112320","Chicken production (except egg laying)","NAICS MANUAL",""
"112320","Cornish hen production","NAICS MANUAL",""
"112320","Fryer chicken production","NAICS MANUAL",""
"112320","Roaster chicken production","NAICS MANUAL",""
"112330","Egg production, turkey","NAICS MANUAL",""
"112330","Turkey egg production","NAICS MANUAL",""
"112330","Turkey production","NAICS MANUAL",""
"112340","Chicken hatcheries","NAICS MANUAL",""
"112340","Egg hatcheries, poultry","NAICS MANUAL",""
"112340","Hatcheries, poultry","NAICS MANUAL",""
"112340","Poultry hatcheries","NAICS MANUAL",""
"112340","Turkey hatcheries","NAICS MANUAL",""
"112390","Chukar partridge production","NAICS MANUAL",""
"112390","Duck production","NAICS MANUAL",""
"112390","Emu production","NAICS MANUAL",""
"112390","Geese production","NAICS MANUAL",""
"112390","Hungarian partridge production","NAICS MANUAL",""
"112390","Ostrich production","NAICS MANUAL",""
"112390","Partridge production","NAICS MANUAL",""
"112390","Pheasant production","NAICS MANUAL",""
"112390","Quail production","NAICS MANUAL",""
"112390","Ratite production","NAICS MANUAL",""
"112410","Dairy sheep farming","NAICS MANUAL",""
"112410","Feedlots (except stockyards for transportation), lamb","NAICS MANUAL",""
"112410","Lamb feedlots (except stockyards for transportation)","NAICS MANUAL",""
"112410","Milking dairy sheep","NAICS MANUAL",""
"112410","Sheep farming (e.g., meat, milk, wool production)","NAICS MANUAL",""
"112420","Angora goat farming","NAICS MANUAL",""
"112420","Dairy goat farming","NAICS MANUAL",""
"112420","Goat farming (e.g., meat, milk, mohair production)","NAICS MANUAL",""
"112420","Milking dairy goat","NAICS MANUAL",""
"112420","Mohair farming","NAICS MANUAL",""
"112511","Baitfish production, farm raising","NAICS MANUAL",""
"112511","Catfish production, farm raising","NAICS MANUAL",""
"112511","Finfish production, farm raising","NAICS MANUAL",""
"112511","Finfish, hatcheries","NAICS MANUAL",""
"112511","Fish farms, finfish","NAICS MANUAL",""
"112511","Goldfish production, farm raising","NAICS MANUAL",""
"112511","Hatcheries, finfish","NAICS MANUAL",""
"112511","Hybrid striped bass production","NAICS MANUAL",""
"112511","Minnow production, farm raising","NAICS MANUAL",""
"112511","Ornamental fish production, farm raising","NAICS MANUAL",""
"112511","Tilapia production","NAICS MANUAL",""
"112511","Tropical fish production, farm raising","NAICS MANUAL",""
"112511","Trout production, farm raising","NAICS MANUAL",""
"112512","Clam production, farm raising","NAICS MANUAL",""
"112512","Crawfish production, farm raising","NAICS MANUAL",""
"112512","Crustacean production, farm raising","NAICS MANUAL",""
"112512","Cultured pearl production, farm raising","NAICS MANUAL",""
"112512","Fish farms, shellfish","NAICS MANUAL",""
"112512","Hatcheries, shellfish","NAICS MANUAL",""
"112512","Mollusk production, farm raising","NAICS MANUAL",""
"112512","Mussel production, farm raising","NAICS MANUAL",""
"112512","Oyster production, farm raising","NAICS MANUAL",""
"112512","Shellfish hatcheries","NAICS MANUAL",""
"112512","Shrimp production, farm raising","NAICS MANUAL",""
"112519","Algae farming","NAICS MANUAL",""
"112519","Alligator production, farm raising","NAICS MANUAL",""
"112519","Animal aquaculture (except finfish, shellfish)","NAICS MANUAL",""
"112519","Frog production, farm raising","NAICS MANUAL",""
"112519","Plant aquaculture","NAICS MANUAL",""
"112519","Sea plant agriculture","NAICS MANUAL",""
"112519","Seaweed farming","NAICS MANUAL",""
"112519","Turtle production, farm raising","NAICS MANUAL",""
"112910","Bee pollen collection","NAICS MANUAL",""
"112910","Bee production (i.e., apiculture)","NAICS MANUAL",""
"112910","Beeswax production","NAICS MANUAL",""
"112910","Honey bee production","NAICS MANUAL",""
"112910","Propolis production, bees","NAICS MANUAL",""
"112910","Queen bee production","NAICS MANUAL",""
"112910","Royal jelly production, bees","NAICS MANUAL",""
"112920","Burro production","NAICS MANUAL",""
"112920","Donkey production","NAICS MANUAL",""
"112920","Horse (including thoroughbreds) production","NAICS MANUAL",""
"112920","Mule production","NAICS MANUAL",""
"112920","Pony production","NAICS MANUAL",""
"112930","Chinchilla production","NAICS MANUAL",""
"112930","Fox production","NAICS MANUAL",""
"112930","Fur bearing animal production","NAICS MANUAL",""
"112930","Mink production","NAICS MANUAL",""
"112930","Rabbit production","NAICS MANUAL",""
"112990","Alpaca production","NAICS MANUAL",""
"112990","Aviaries (i.e., raising birds for sale)","NAICS MANUAL",""
"112990","Aviary (i.e., raising birds for sale)","BLS SINGULAR",""
"112990","Bird production (e.g., canaries, love birds, parakeets, parrots)","NAICS MANUAL",""
"112990","Bison production","NAICS MANUAL",""
"112990","Breeding of pets (e.g., birds, cats, dogs)","NAICS MANUAL",""
"112990","Buffalo production","NAICS MANUAL",""
"112990","Cat production","NAICS MANUAL",""
"112990","Combination livestock farming (except dairy, poultry)","NAICS MANUAL",""
"112990","Companion animals production (e.g., cats, dogs, parakeets, parrots)","NAICS MANUAL",""
"112990","Cricket production","NAICS MANUAL",""
"112990","Deer production","NAICS MANUAL",""
"112990","Dog production","NAICS MANUAL",""
"112990","Earthworm hatcheries","NAICS MANUAL",""
"112990","Elk production","NAICS MANUAL",""
"112990","General combination animal farming","NAICS MANUAL",""
"112990","Kennels, breeding and raising stock for sale","NAICS MANUAL",""
"112990","Laboratory animal production (e.g., guinea pigs, mice, rats)","NAICS MANUAL",""
"112990","Llama production","NAICS MANUAL",""
"112990","Raising swans, peacocks, flamingos, or other adornment birds","NAICS MANUAL",""
"112990","Rattlesnake production","NAICS MANUAL",""
"112990","Worm production","NAICS MANUAL",""
"113110","Timber tract operations","NAICS MANUAL",""
"113210","Aromatic wood gathering","NAICS MANUAL",""
"113210","Balsam needles gathering","NAICS MANUAL",""
"113210","Bark gathering","NAICS MANUAL",""
"113210","Cherry gum, gathering","NAICS MANUAL",""
"113210","Chestnut gum, gathering","NAICS MANUAL",""
"113210","Forest nurseries for reforestation, growing trees","NAICS MANUAL",""
"113210","Forest nursery for reforestation, growing trees","BLS SINGULAR",""
"113210","Gathering of forest products (e.g., barks, gums, needles, seeds)","NAICS MANUAL",""
"113210","Gathering, extracting, and selling tree seeds","NAICS MANUAL",""
"113210","Ginseng gathering","NAICS MANUAL",""
"113210","Gum (i.e., forest product) gathering","NAICS MANUAL",""
"113210","Harvesting berries or nuts from native and non-cultivated plants","NAICS MANUAL",""
"113210","Harvesting berry or nuts from native and non-cultivated plants","BLS SINGULAR",""
"113210","Hemlock gum gathering","NAICS MANUAL",""
"113210","Huckleberry greens, gathering of","NAICS MANUAL",""
"113210","Moss gathering","NAICS MANUAL",""
"113210","Nurseries for reforestation growing trees","NAICS MANUAL",""
"113210","Nursery for reforestation growing trees","BLS SINGULAR",""
"113210","Pine gum extracting","NAICS MANUAL",""
"113210","Spanish moss gathering","NAICS MANUAL",""
"113210","Sphagnum moss gathering","NAICS MANUAL",""
"113210","Spruce gum gathering","NAICS MANUAL",""
"113210","Teaberries gathering","NAICS MANUAL",""
"113210","Teaberry gathering","BLS SINGULAR",""
"113210","Tree seed extracting","NAICS MANUAL",""
"113210","Tree seed gathering","NAICS MANUAL",""
"113210","Tree seed growing for reforestation","NAICS MANUAL",""
"113310","Cutting and transporting timber","NAICS MANUAL",""
"113310","Cutting timber","NAICS MANUAL",""
"113310","Log harvesting","NAICS MANUAL",""
"113310","Logging","NAICS MANUAL",""
"113310","Pulpwood logging camps","NAICS MANUAL",""
"113310","Rails, rough wood, manufacturing","NAICS MANUAL",""
"113310","Stump removing in the field","NAICS MANUAL",""
"113310","Timber piling","NAICS MANUAL",""
"113310","Timber pole cutting","NAICS MANUAL",""
"113310","Tree chipping in the field","NAICS MANUAL",""
"113310","Wood chipping in the field","NAICS MANUAL",""
"114111","Anchovy fishing","NAICS MANUAL",""
"114111","Bluefish fishing","NAICS MANUAL",""
"114111","Cod catching","NAICS MANUAL",""
"114111","Cod fishing","NAICS MANUAL",""
"114111","Croaker fishing","NAICS MANUAL",""
"114111","Dolphin fishing","NAICS MANUAL",""
"114111","Eel fishing","NAICS MANUAL",""
"114111","Finfish fishing (e.g., flounder, salmon, trout)","NAICS MANUAL",""
"114111","Fisheries, finfish","NAICS MANUAL",""
"114111","Flounder fishing","NAICS MANUAL",""
"114111","Grouper fishing","NAICS MANUAL",""
"114111","Haddock fishing","NAICS MANUAL",""
"114111","Hake fishing","NAICS MANUAL",""
"114111","Halibut fishing","NAICS MANUAL",""
"114111","Herring fishing","NAICS MANUAL",""
"114111","Lingcod fishing","NAICS MANUAL",""
"114111","Mackerel fishing","NAICS MANUAL",""
"114111","Mahimahi fishing","NAICS MANUAL",""
"114111","Menhaden fishing","NAICS MANUAL",""
"114111","Mullet fishing","NAICS MANUAL",""
"114111","Perch fishing","NAICS MANUAL",""
"114111","Pilchard  fishing","NAICS MANUAL",""
"114111","Pollock fishing","NAICS MANUAL",""
"114111","Porgy fishing","NAICS MANUAL",""
"114111","Ray fishing","NAICS MANUAL",""
"114111","Rockfish fishing","NAICS MANUAL",""
"114111","Sablefish fishing","NAICS MANUAL",""
"114111","Salmon fishing","NAICS MANUAL",""
"114111","Sea bass fishing","NAICS MANUAL",""
"114111","Sea herring fishing","NAICS MANUAL",""
"114111","Sea trout fishing","NAICS MANUAL",""
"114111","Shark fishing","NAICS MANUAL",""
"114111","Snapper fishing","NAICS MANUAL",""
"114111","Swordfish fishing","NAICS MANUAL",""
"114111","Tilefish fishing","NAICS MANUAL",""
"114111","Trout fishing","NAICS MANUAL",""
"114111","Tuna fishing","NAICS MANUAL",""
"114111","Whiting fishing","NAICS MANUAL",""
"114112","Clam digging","NAICS MANUAL",""
"114112","Crabbing","NAICS MANUAL",""
"114112","Crayfish fishing","NAICS MANUAL",""
"114112","Fisheries, shellfish","NAICS MANUAL",""
"114112","Lobster fishing","NAICS MANUAL",""
"114112","Mussel fishing","NAICS MANUAL",""
"114112","Octopus fishing","NAICS MANUAL",""
"114112","Oyster dredging","NAICS MANUAL",""
"114112","Scallop fishing","NAICS MANUAL",""
"114112","Sea urchin fishing","NAICS MANUAL",""
"114112","Shellfish fishing (e.g., clam, crab, oyster, shrimp)","NAICS MANUAL",""
"114112","Shrimp fishing","NAICS MANUAL",""
"114112","Squid fishing","NAICS MANUAL",""
"114119","Frog fishing","NAICS MANUAL",""
"114119","Seaweed gathering","NAICS MANUAL",""
"114119","Sponge gathering","NAICS MANUAL",""
"114119","Terrapin fishing","NAICS MANUAL",""
"114119","Turtle fishing","NAICS MANUAL",""
"114210","Animal trapping, commercial","NAICS MANUAL",""
"114210","Fishing preserves","NAICS MANUAL",""
"114210","Game preserves, commercial","NAICS MANUAL",""
"114210","Game propagation","NAICS MANUAL",""
