"stfips","codetype","code","codetitle"
"00","10","112930","Fur-Bearing Animal and Rabbit Production"
"00","10","11299","All Other Animal Production"
"00","10","112990","All Other Animal Production"
"00","10","113","Forestry and Logging"
"00","10","1131","Timber Tract Operations"
"00","10","11311","Timber Tract Operations"
"00","10","113110","Timber Tract Operations"
"00","10","1132","Forest Nursery/Gathering Forest Products"
"00","10","11321","Forest Nursery/Gathering Forest Products"
"00","10","113210","Forest Nursery/Gathering Forest Products"
"00","10","1133","Logging"
"00","10","11331","Logging"
"00","10","113310","Logging"
"00","10","114","Fishing, Hunting and Trapping"
"00","10","1141","Fishing"
"00","10","11411","Fishing"
"00","10","114111","Finfish Fishing"
"00","10","114112","Shellfish Fishing"
"00","10","114119","Other Marine Fishing"
"00","10","1142","Hunting and Trapping"
"00","10","11421","Hunting and Trapping"
"00","10","114210","Hunting and Trapping"
"00","10","115","Agriculture & Forestry Support Activity"
"00","10","1151","Support Activities for Crop Production"
"00","10","11511","Support Activities for Crop Production"
"00","10","115111","Cotton Ginning"
"00","10","115112","Soil Preparation, Planting, Cultivating"
"00","10","115113","Crop Harvesting, Primarily by Machine"
"00","10","115114","Postharvest Crop Activities"
"00","10","115115","Farm Labor Contractors and Crew Leaders"
"00","10","115116","Farm Management Services"
"00","10","1152","Support Activities for Animal Production"
"00","10","11521","Support Activities for Animal Production"
"00","10","115210","Support Activities for Animal Production"
"00","10","1153","Support Activities for Forestry"
"00","10","11531","Support Activities for Forestry"
"00","10","115310","Support Activities for Forestry"
"00","10","21","Mining"
"00","10","211","Oil and Gas Extraction"
"00","10","2111","Oil and Gas Extraction"
"00","10","21111","Oil and Gas Extraction"
"00","10","211111","Crude Petroleum & Natural Gas Extraction"
"00","10","211112","Natural Gas Liquid Extraction"
"00","10","21112","Crude Petroleum Extraction "
"00","10","211120","Crude Petroleum Extraction "
"00","10","21113","Natural Gas Extraction "
"00","10","211130","Natural Gas Extraction "
"00","10","212","Mining (except Oil and Gas)"
"00","10","2121","Coal Mining"
"00","10","21211","Coal Mining"
"00","10","212111","Bituminous Coal & Lignite Surface Mining"
"00","10","212112","Bituminous Coal Underground Mining"
"00","10","212113","Anthracite Mining"
"00","10","2122","Metal Ore Mining"
"00","10","21221","Iron Ore Mining"
"00","10","212210","Iron Ore Mining"
"00","10","21222","Gold Ore and Silver Ore Mining"
"00","10","212221","Gold Ore Mining"
"00","10","212222","Silver Ore Mining"
"00","10","21223","Copper, Nickel, Lead, and Zinc Mining"
"00","10","212230","Copper, Nickel, Lead, and Zinc Mining "
"00","10","212231","Lead Ore and Zinc Ore Mining"
"00","10","212234","Copper Ore and Nickel Ore Mining"
"00","10","21229","Other Metal Ore Mining"
"00","10","212291","Uranium-Radium-Vanadium Ore Mining"
"00","10","212299","All Other Metal Ore Mining"
"00","10","2123","Nonmetallic Mineral Mining and Quarrying"
"00","10","21231","Stone Mining and Quarrying"
"00","10","212311","Dimension Stone Mining and Quarrying"
"00","10","212312","Crushed Limestone Mining and Quarrying"
"00","10","212313","Crushed Granite Mining and Quarrying"
"00","10","212319","Other Crushed Stone Mining and Quarrying"
"00","10","21232","Sand, Clay, & Refractory Mineral Mining"
"00","10","212321","Construction Sand and Gravel Mining"
"00","10","212322","Industrial Sand Mining"
"00","10","212324","Kaolin and Ball Clay Mining"
"00","10","212325","Clay and Ceramic and Refractory Minerals"
"00","10","21239","Other Nonmetallic Mineral Mining"
"00","10","212391","Potash, Soda, and Borate Mineral Mining"
"00","10","212392","Phosphate Rock Mining"
"00","10","212393","Other Chemical/Fertilizer Mineral Mining"
"00","10","212399","All Other Nonmetallic Mineral Mining"
"00","10","213","Support Activities for Mining"
"00","10","2131","Support Activities for Mining"
"00","10","21311","Support Activities for Mining"
"00","10","213111","Drilling Oil and Gas Wells"
"00","10","213112","Support Activities, Oil/Gas Operations"
"00","10","213113","Support Activities for Coal Mining"
"00","10","213114","Support Activities for Metal Mining"
"00","10","213115","Support Activities, Nonmetallic Minerals"
"00","10","22","Utilities"
"00","10","221","Utilities"
"00","10","2211","Power Generation and Supply"
"00","10","22111","Electric Power Generation"
"00","10","221111","Hydroelectric Power Generation"
"00","10","221112","Fossil Fuel Electric Power Generation"
"00","10","221113","Nuclear Electric Power Generation"
"00","10","221114","Solar Electric Power Generation "
"00","10","221115","Wind Electric Power Generation "
"00","10","221116","Geothermal Electric Power Generation "
"00","10","221117","Biomass Electric Power Generation "
"00","10","221118","Other Electric Power Generation "
"00","10","221119","Other Electric Power Generation"
"00","10","22112","Electric Power Transmission/Distribution"
"00","10","221121","Electric Bulk Power Transmission"
"00","10","221122","Electric Power Distribution"
"00","10","2212","Natural Gas Distribution"
"00","10","22121","Natural Gas Distribution"
"00","10","221210","Natural Gas Distribution"
"00","10","2213","Water, Sewage and Other Systems"
"00","10","22131","Water Supply and Irrigation Systems"
"00","10","221310","Water Supply and Irrigation Systems"
"00","10","22132","Sewage Treatment Facilities"
"00","10","221320","Sewage Treatment Facilities"
"00","10","22133","Steam and Air-Conditioning Supply"
"00","10","221330","Steam and Air-Conditioning Supply"
"00","10","23","Construction"
"00","10","236","Construction of Buildings"
"00","10","2361","Residential Building Construction"
"00","10","23611","Residential Building Construction"
"00","10","236115","New Single-Family Housing Construction"
"00","10","236116","New Multifamily Housing Construction"
"00","10","236117","New Housing Operative Builders"
"00","10","236118","Residential Remodelers"
"00","10","2362","Nonresidential Building Construction"
"00","10","23621","Industrial Building Construction"
"00","10","236210","Industrial Building Construction"
"00","10","23622","Commercial Building Construction"
"00","10","236220","Commercial Building Construction"
"00","10","237","Heavy and Civil Engineering Construction"
"00","10","2371","Utility System Construction"
"00","10","23711","Water and Sewer System Construction"
"00","10","237110","Water and Sewer System Construction"
"00","10","23712","Oil and Gas Pipeline Construction"
"00","10","237120","Oil and Gas Pipeline Construction"
"00","10","23713","Power/Communication System Construction"
"00","10","237130","Power/Communication System Construction"
"00","10","2372","Land Subdivision"
"00","10","23721","Land Subdivision"
"00","10","237210","Land Subdivision"
"00","10","2373","Highway, Street, and Bridge Construction"
"00","10","23731","Highway, Street, and Bridge Construction"
"00","10","237310","Highway, Street, and Bridge Construction"
"00","10","2379","Other Heavy Construction"
"00","10","23799","Other Heavy Construction"
"00","10","237990","Other Heavy Construction"
"00","10","238","Specialty Trade Contractors"
"00","10","2381","Building Foundation/Exterior Contractors"
"00","10","23811","Poured Concrete Structure Contractors"
"00","10","238110","Poured Concrete Foundation and Structure"
"00","10","238111","Residential Poured Foundation Contractor"
"00","10","238112","Nonresidential Poured Foundation Contrs"
"00","10","23812","Steel and Precast Concrete Contractors"
"00","10","238120","Structural Steel and Precast Concrete Co"
"00","10","238121","Residential Structural Steel Contractors"
"00","10","238122","Nonresidential Structural Steel Contrs"
"00","10","23813","Framing Contractors"
"00","10","238130","Framing Contractors"
"00","10","238131","Residential Framing Contractors"
"00","10","238132","Nonresidential Framing Contractors"
"00","10","23814","Masonry Contractors"
"00","10","238140","Masonry Contractors"
"00","10","238141","Residential Masonry Contractors"
"00","10","238142","Nonresidential Masonry Contractors"
"00","10","23815","Glass and Glazing Contractors"
"00","10","238150","Glass and Glazing Contractors"
"00","10","238151","Residential Glass/Glazing Contractors"
"00","10","238152","Nonresidential Glass/Glazing Contractors"
"00","10","23816","Roofing Contractors"
"00","10","238160","Roofing Contractors"
"00","10","238161","Residential Roofing Contractors"
"00","10","238162","Nonresidential Roofing Contractors"
"00","10","23817","Siding Contractors"
"00","10","238170","Siding Contractors"
"00","10","238171","Residential Siding Contractors"
"00","10","238172","Nonresidential Siding Contractors"
"00","10","23819","Other Building Exterior Contractors"
"00","10","238190","Other Foundation, Structure, and Buildin"
"00","10","238191","Other Residential Exterior Contractors"
"00","10","238192","Other Nonresidential Exterior Contrs"
"00","10","2382","Building Equipment Contractors"
"00","10","23821","Electrical Contractors"
"00","10","238210","Electrical Contractors and Other Wiring "
"00","10","238211","Residential Electrical Contractors"
"00","10","238212","Nonresidential Electrical Contractors"
"00","10","23822","Plumbing and HVAC Contractors"
"00","10","238220","Plumbing, Heating, and Air-Conditioning "
"00","10","238221","Residential Plumbing/HVAC Contractors"
"00","10","238222","Nonresidential Plumbing/HVAC Contractors"
"00","10","23829","Other Building Equipment Contractors"
"00","10","238290","Other Building Equipment Contractors"
"00","10","238291","Other Residential Equipment Contractors"
"00","10","238292","Other Nonresidential Equipment Contrs"
"00","10","2383","Building Finishing Contractors"
"00","10","23831","Drywall and Insulation Contractors"
"00","10","238310","Drywall and Insulation Contractors"
"00","10","238311","Residential Drywall Contractors"
"00","10","238312","Nonresidential Drywall Contractors"
"00","10","23832","Painting and Wall Covering Contractors"
"00","10","238320","Painting and Wall Covering Contractors"
"00","10","238321","Residential Painting Contractors"
"00","10","238322","Nonresidential Painting Contractors"
"00","10","23833","Flooring Contractors"
"00","10","238330","Flooring Contractors"
"00","10","238331","Residential Flooring Contractors"
"00","10","238332","Nonresidential Flooring Contractors"
"00","10","23834","Tile and Terrazzo Contractors"
"00","10","238340","Tile and Terrazzo Contractors"
"00","10","238341","Residential Tile/Terrazzo Contractors"
"00","10","238342","Nonresidential Tile/Terrazzo Contractors"
"00","10","23835","Finish Carpentry Contractors"
"00","10","238350","Finish Carpentry Contractors"
"00","10","238351","Residential Finish Carpentry Contractors"
"00","10","238352","Nonresidential Finish Carpentry Contrs"
"00","10","23839","Other Building Finishing Contractors"
"00","10","238390","Other Building Finishing Contractors"
"00","10","238391","Other Residential Finishing Contractors"
"00","10","238392","Other Nonresidential Finishing Contrs"
"00","10","2389","Other Specialty Trade Contractors"
"00","10","23891","Site Preparation Contractors"
"00","10","238910","Site Preparation Contractors"
"00","10","238911","Residential Site Preparation Contractors"
"00","10","238912","Nonresidential Site Preparation Contrs"
"00","10","23899","All Other Specialty Trade Contractors"
"00","10","238990","All Other Specialty Trade Contractors"
"00","10","238991","All Other Residential Trade Contractors"
"00","10","238992","All Other Nonresidential Trade Contrs"
"00","10","31","Manufacturing"
"00","10","311","Food Manufacturing"
"00","10","3111","Animal Food Manufacturing"
"00","10","31111","Animal Food Manufacturing"
"00","10","311111","Dog and Cat Food Manufacturing"
"00","10","311119","Other Animal Food Manufacturing"
"00","10","3112","Grain and Oilseed Milling"
"00","10","31121","Flour Milling and Malt Manufacturing"
"00","10","311211","Flour Milling"
"00","10","311212","Rice Milling"
"00","10","311213","Malt Manufacturing"
"00","10","31122","Starch and Vegetable Oil Manufacturing"
"00","10","311221","Wet Corn Milling"
"00","10","311222","Soybean Processing"
"00","10","311223","Other Oilseed Processing"
"00","10","311224","Soybean and Other Oilseed Processing "
"00","10","311225","Fats and Oils Refining and Blending"
"00","10","31123","Breakfast Cereal Manufacturing"
"00","10","311230","Breakfast Cereal Manufacturing"
"00","10","3113","Sugar/Confectionery Product Manufacture"
"00","10","31131","Sugar Manufacturing"
"00","10","311311","Sugarcane Mills"
"00","10","311312","Cane Sugar Refining"
"00","10","311313","Beet Sugar Manufacturing"
"00","10","311314","Cane Sugar Manufacturing"
"00","10","31132","Confectionery Manufacturing, Cacao Beans"
"00","10","311320","Confectionery Manufacturing, Cacao Beans"
"00","10","31133","Purchased Chocolate Confectionery Mfg"
"00","10","311330","Purchased Chocolate Confectionery Mfg"
"00","10","31134","Nonchocolate Confectionery Manufacturing"
"00","10","311340","Nonchocolate Confectionery Manufacturing"
"00","10","31135","Chocolate and Chocolate Confectionery Manufacturing"
"00","10","311351","Chocolate and Confectionery Manufacturing from Cacao Beans"
"00","10","311352","Confectionary Manufacturing from Purchased Chocolate"
"00","10","3114","Fruit, Vegetable, & Specialty Foods Mfg"
"00","10","31141","Frozen Food Manufacturing"
"00","10","311411","Frozen Fruit and Vegetable Manufacturing"
"00","10","311412","Frozen Specialty Food Manufacturing"
"00","10","31142","Fruit and Vegetable Canning"
"00","10","311421","Fruit and Vegetable Canning"
"00","10","311422","Specialty Canning"
"00","10","311423","Dried and Dehydrated Food Manufacturing"
"00","10","3115","Dairy Product Manufacturing"
"00","10","31151","Dairy Product (ex. Frozen) Manufacturing"
"00","10","311511","Fluid Milk Manufacturing"
"00","10","311512","Creamery Butter Manufacturing"
"00","10","311513","Cheese Manufacturing"
"00","10","311514","Dry, Condensed, Evaporated Dairy Product"
"00","10","31152","Ice Cream & Frozen Dessert Manufacturing"
"00","10","311520","Ice Cream & Frozen Dessert Manufacturing"
"00","10","3116","Animal Slaughtering and Processing"
"00","10","31161","Animal Slaughtering and Processing"
"00","10","311611","Animal (except Poultry) Slaughtering"
"00","10","311612","Meat Processed from Carcasses"
"00","10","311613","Rendering and Meat Byproduct Processing"
"00","10","311615","Poultry Processing"
"00","10","3117","Seafood Product Preparation & Packaging"
"00","10","31171","Seafood Product Preparation & Packaging"
"00","10","311710","Seafood Product Preparation and Packaging"
"00","10","311711","Seafood Canning"
"00","10","311712","Fresh and Frozen Seafood Processing"
"00","10","3118","Bakeries and Tortilla Manufacturing"
"00","10","31181","Bread and Bakery Product Manufacturing"
"00","10","311811","Retail Bakeries"
"00","10","311812","Commercial Bakeries"
"00","10","311813","Frozen Pastry Manufacturing"
"00","10","31182","Cookie, Cracker, and Pasta Manufacturing"
"00","10","311821","Cookie and Cracker Manufacturing"
"00","10","311822","Mixes & Dough Made from Purchased Flour"
"00","10","311823","Dry Pasta Manufacturing"
"00","10","311824","Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour"
"00","10","31183","Tortilla Manufacturing"
"00","10","311830","Tortilla Manufacturing"
"00","10","3119","Other Food Manufacturing"
"00","10","31191","Snack Food Manufacturing"
"00","10","311911","Roasted Nuts and Peanut Butter Mfg"
"00","10","311919","Other Snack Food Manufacturing"
"00","10","31192","Coffee and Tea Manufacturing"
"00","10","311920","Coffee and Tea Manufacturing"
"00","10","31193","Flavoring Syrup and Concentrate Mfg"
"00","10","311930","Flavoring Syrup and Concentrate Mfg"
"00","10","31194","Seasoning and Dressing Manufacturing"
"00","10","311941","Mayonnaise, Dressing, and Sauce Mfg"
"00","10","311942","Spice and Extract Manufacturing"
"00","10","31199","All Other Food Manufacturing"
"00","10","311991","Perishable Prepared Food Manufacturing"
"00","10","311999","All Other Miscellaneous Food Mfg"
"00","10","312","Beverage & Tobacco Product Manufacturing"
"00","10","3121","Beverage Manufacturing"
"00","10","31211","Soft Drink and Ice Manufacturing"
"00","10","312111","Soft Drink Manufacturing"
"00","10","312112","Bottled Water Manufacturing"
"00","10","312113","Ice Manufacturing"
"00","10","31212","Breweries"
"00","10","312120","Breweries"
"00","10","31213","Wineries"
"00","10","312130","Wineries"
"00","10","31214","Distilleries"
"00","10","312140","Distilleries"
"00","10","3122","Tobacco Manufacturing"
"00","10","31221","Tobacco Stemming and Redrying"
"00","10","312210","Tobacco Stemming and Redrying"
"00","10","31222","Tobacco Product Manufacturing"
"00","10","312221","Cigarette Manufacturing"
"00","10","312229","Other Tobacco Product Manufacturing"
"00","10","31223","Tobacco Manufacturing"
"00","10","312230","Tobacco Manufacturing"
"00","10","313","Textile Mills"
"00","10","3131","Fiber, Yarn, and Thread Mills"
"00","10","31311","Fiber, Yarn, and Thread Mills"
"00","10","313110","Fiber, yarn, and thread mills"
"00","10","313111","Yarn Spinning Mills"
"00","10","313112","Yarn Texturizing, Throwing, and Twisting"
"00","10","313113","Thread Mills"
"00","10","3132","Fabric Mills"
"00","10","31321","Broadwoven Fabric Mills"
"00","10","313210","Broadwoven Fabric Mills"
"00","10","31322","Narrow Fabric Mills/Schiffli Embroidery"
"00","10","313220","Narrow Fabric Mills and Schiffli Machine Embroidery"
"00","10","313221","Narrow Fabric Mills"
"00","10","313222","Schiffli Machine Embroidery"
"00","10","31323","Nonwoven Fabric Mills"
"00","10","313230","Nonwoven Fabric Mills"
"00","10","31324","Knit Fabric Mills"
"00","10","313240","Knit Fabric Mills"
"00","10","313241","Weft Knit Fabric Mills"
"00","10","313249","Other Knit Fabric and Lace Mills"
"00","10","3133","Textile and Fabric Finishing and Fabric"
"00","10","31-33","Manufacturing"
"00","10","31331","Textile and Fabric Finishing Mills"
"00","10","313310","Textile and Fabric Finishing Mills "
"00","10","313311","Broadwoven Fabric Finishing Mills"
"00","10","313312","Textile and Fabric Finishing (except Bro"
"00","10","31332","Fabric Coating Mills"
"00","10","313320","Fabric Coating Mills"
"00","10","314","Textile Product Mills"
"00","10","3141","Textile Furnishings Mills"
"00","10","31411","Carpet and Rug Mills"
"00","10","314110","Carpet and Rug Mills"
"00","10","31412","Curtain and Linen Mills"
"00","10","314120","Curtain and Linen Mills"
"00","10","314121","Curtain and Drapery Mills"
"00","10","314129","Other Household Textile Product Mills"
"00","10","3149","Other Textile Product Mills"
"00","10","31491","Textile Bag and Canvas Mills"
"00","10","314910","Textile Bag and Canvas Mills "
"00","10","314911","Textile Bag Mills"
"00","10","314912","Canvas and Related Product Mills"
"00","10","31499","All Other Textile Product Mills"
"00","10","314991","Rope, Cordage, and Twine Mills"
"00","10","314992","Tire Cord and Tire Fabric Mills"
"00","10","314994","Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills "
"00","10","314999","All Other Textile Product Mills"
"00","10","315","Apparel Manufacturing"
"00","10","3151","Apparel Knitting Mills"
"00","10","31511","Hosiery and Sock Mills"
"00","10","315110","Hosiery and Sock Mills"
"00","10","315111","Sheer Hosiery Mills"
"00","10","315119","Other Hosiery and Sock Mills"
"00","10","31519","Other Apparel Knitting Mills"
"00","10","315190","Other Apparel Knitting Mills "
"00","10","315191","Outerwear Knitting Mills"
"00","10","315192","Underwear and Nightwear Knitting Mills"
"00","10","3152","Cut and Sew Apparel Manufacturing"
"00","10","31521","Cut and Sew Apparel Contractors"
"00","10","315210","Cut and Sew Apparel Contractors "
"00","10","315211","Mens Cut and Sew Apparel Contractors"
"00","10","315212","Womens Cut and Sew Apparel Contractors"
"00","10","31522","Mens Cut and Sew Apparel Manufacturing"
"00","10","315220","Men’s and Boys’ Cut and Sew Apparel Manufacturing "
"00","10","315221","Mens Underwear & Nightwear Manufacturing"
"00","10","315222","Mens Suit, Coat & Overcoat Manufacturing"
"00","10","315223","Mens Shirt ex. Work Shirt Manufacturing"
"00","10","315224","Mens Pants ex. Work Pants Manufacturing"
"00","10","315225","Mens Work Clothing Manufacturing"
"00","10","315228","Other Mens Outerwear Manufacturing"
"00","10","31523","Womens Cut and Sew Apparel Manufacturing"
"00","10","315231","Womens Lingerie/Nightwear Manufacturing"
"00","10","315232","Womens Blouse and Shirt Manufacturing"
"00","10","315233","Womens Dress Manufacturing"
"00","10","315234","Womens Tailored Outerwear Manufacturing"
"00","10","315239","Other Womens Outerwear Manufacturing"
"00","10","31524","Women's , Girls', and Infants' Cut and Sew Apparel Manufacturing"
"00","10","315240","Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing"
"00","10","31528","Other Cut and Sew Apparel Manufacturing "
"00","10","315280","Other Cut and Sew Apparel Manufacturing "
"00","10","31529","Other Cut and Sew Apparel Manufacturing"
"00","10","315291","Infants Cut & Sew Apparel Manufacturing"
"00","10","315292","Fur and Leather Apparel Manufacturing"
"00","10","315299","All Other Cut and Sew Apparel Mfg"
"00","10","3159","Accessories and Other Apparel Mfg"
"00","10","31599","Accessories and Other Apparel Mfg"
"00","10","315990","Apparel Accessories and Other Apparel Manufacturing "
"00","10","315991","Hat, Cap, and Millinery Manufacturing"
"00","10","315992","Glove and Mitten Manufacturing"
"00","10","315993","Men's and Boys' Neckwear Manufacturing"
"00","10","315999","All Other Accessory & Apparel Mfg"
"00","10","316","Leather and Allied Product Manufacturing"
"00","10","3161","Leather and Hide Tanning and Finishing"
"00","10","31611","Leather and Hide Tanning and Finishing"
"00","10","316110","Leather and Hide Tanning and Finishing"
"00","10","3162","Footwear Manufacturing"
"00","10","31621","Footwear Manufacturing"
"00","10","316210","Footwear Manufacturing "
"00","10","316211","Rubber & Plastics Footwear Manufacturing"
"00","10","316212","House Slipper Manufacturing"
"00","10","316213","Men's Nonathletic Footwear Manufacturing"
"00","10","316214","Women's Nonathletic Footwear Mfg"
"00","10","316219","Other Footwear Manufacturing"
"00","10","3169","Other Leather Product Manufacturing"
"00","10","31699","Other Leather Product Manufacturing"
"00","10","316991","Luggage Manufacturing"
"00","10","316992","Women's Handbag and Purse Manufacturing"
"00","10","316993","Personal Leather Good Manufacturing"
"00","10","316998","All Other Leather Good and Allied Product Manufacturing "
"00","10","316999","All Other Leather Good Manufacturing"
"00","10","321","Wood Product Manufacturing"
"00","10","3211","Sawmills and Wood Preservation"
"00","10","32111","Sawmills and Wood Preservation"
"00","10","321113","Sawmills"
"00","10","321114","Wood Preservation"
"00","10","3212","Veneer and Engineered Wood Products"
"00","10","32121","Veneer and Engineered Wood Products"
"00","10","321211","Hardwood Veneer & Plywood Manufacturing"
"00","10","321212","Softwood Veneer & Plywood Manufacturing"
"00","10","321213","Engineered Wood Member Manufacturing"
"00","10","321214","Truss Manufacturing"
"00","10","321219","Reconstituted Wood Product Manufacturing"
"00","10","3219","Other Wood Product Manufacturing"
"00","10","32191","Millwork"
"00","10","321911","Wood Window and Door Manufacturing"
"00","10","321912","Cut Stock, Resawing Lumber, and Planing"
"00","10","321918","Other Millwork (including Flooring)"
"00","10","32192","Wood Container and Pallet Manufacturing"
"00","10","321920","Wood Container and Pallet Manufacturing"
"00","10","32199","All Other Wood Product Manufacturing"
"00","10","321991","Manufactured/Mobile Home Manufacturing"
"00","10","321992","Prefabricated Wood Building Mfg"
"00","10","321999","Miscellaneous Wood Product Manufacturing"
"00","10","322","Paper Manufacturing"
"00","10","3221","Pulp, Paper, and Paperboard Mills"
"00","10","32211","Pulp Mills"
"00","10","322110","Pulp Mills"
"00","10","32212","Paper Mills"
"00","10","322121","Paper (except Newsprint) Mills"
"00","10","322122","Newsprint Mills"
"00","10","32213","Paperboard Mills"
"00","10","322130","Paperboard Mills"
"00","10","3222","Converted Paper Product Manufacturing"
"00","10","32221","Paperboard Container Manufacturing"
"00","10","322211","Corrugated/Solid Fiber Box Manufacturing"
"00","10","322212","Folding Paperboard Box Manufacturing"
"00","10","322213","Setup Paperboard Box Manufacturing"
"00","10","322214","Fiber Can, Tube and Drum Manufacturing"
"00","10","322215","Nonfolding Food Container Manufacturing"
"00","10","322219","Other Paperboard Container Manufacturing "
"00","10","32222","Paper Bag & Packaging Film Manufacturing"
"00","10","322220","Paper Bag and Coated and Treated Paper Manufacturing"
"00","10","322221","Coated and Laminated Packaging Materials"
"00","10","322222","Coated and Laminated Paper Manufacturing"
"00","10","322223","Plastics, Foil, and Coated Paper Bags"
"00","10","322224","Uncoated Paper Bag Manufacturing"
"00","10","322225","Flexible Packaging Foil Manufacturing"
"00","10","322226","Surface-Coated Paperboard Manufacturing"
"00","10","32223","Stationery Product Manufacturing"
"00","10","322230","Stationery Product Manufacturing"
"00","10","322231","Die-Cut Office Supplies Manufacturing"
"00","10","322232","Envelope Manufacturing"
"00","10","322233","Stationery and Related Product Mfg"
"00","10","32229","Other Converted Paper Product Mfg"
"00","10","322291","Sanitary Paper Product Manufacturing"
"00","10","322299","All Other Converted Paper Products"
"00","10","323","Printing and Related Support Activities"
"00","10","3231","Printing and Related Support Activities"
"00","10","32311","Printing"
"00","10","323110","Commercial Lithographic Printing"
"00","10","323111","Commercial Gravure Printing"
"00","10","323112","Commercial Flexographic Printing"
"00","10","323113","Commercial Screen Printing"
"00","10","323114","Quick Printing"
"00","10","323115","Digital Printing"
